fuente;tabla;Anio;DepartamentoCodigo;EstacionAgr;columna;n_registros;n_vacios;n_marcadores_nulo;n_ceros;n_guiones;n_faltantes_csv;n_presentes;porcentaje_faltantes
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempAireMin;366;0;0;2;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempMin7p2;366;0;0;267;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSC05cm(max);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSC05cm(med);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSC05cm(min);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSC10cm(max);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSC10cm(med);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSC10cm(min);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSD05cm(max);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSD05cm(med);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSD05cm(min);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSD10cm(max);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSD10cm(med);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempSD10cm(min);366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;UnTermicasArroz;366;0;0;44;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;UnidadFrio;366;0;0;2;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;AmplitudTermica;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;Anio;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;Dia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;EstacionAgr;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;EvapPiche;366;0;0;1;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;EvapTanque;366;0;0;2;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;EvapotranspPenman;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;GradosMenos10;366;46;0;16;0;46;320;12,5683
INIA;INIA;2016;2;Las Brujas;GradosMenos10p5;366;54;0;24;0;54;312;14,7541
INIA;INIA;2016;2;Las Brujas;GradosMenos12p8;366;93;0;37;0;93;273;25,4098
INIA;INIA;2016;2;Las Brujas;GradosMenos4p5;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;GradosMenos6;366;1;0;1;0;1;365;0,2732
INIA;INIA;2016;2;Las Brujas;GradosMenos7;366;7;0;1;0;7;359;1,9126
INIA;INIA;2016;2;Las Brujas;GradosMenos8;366;22;0;4;0;22;344;6,0109
INIA;INIA;2016;2;Las Brujas;GradosMenos9;366;33;0;7;0;33;333;9,0164
INIA;INIA;2016;2;Las Brujas;HR100;366;0;0;366;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;HR90y99;366;0;0;196;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;HRMax;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;HRMed;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;HRMin;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;HeladaAgromet;366;0;0;330;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;HeladaMeteo;366;0;0;364;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;Heliofania(hrs);366;0;0;36;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;HeliofaniaRelativa;366;0;0;36;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;Llovio;366;0;0;242;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;Mes;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;PrecipAcum;366;0;0;242;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;PrecipEfectiva;366;0;0;242;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;RadSolar;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;RecorridoViento;366;0;0;1;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;TMedia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;TMin15;366;0;0;107;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;TMinSCesped;366;0;0;1;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;TempAireMax;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;TempAireMedia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;TempAireMin;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;TempMin7p2;366;0;0;277;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;TempSC05cm(max);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSC05cm(med);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSC05cm(min);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSC10cm(max);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSC10cm(med);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSC10cm(min);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSD05cm(max);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSD05cm(med);366;366;0;0;0;366;0;100,0
